house_year,house_pv_share,house_seat_share,win,kl_house,period
1908.0,0.4755318034161165,0.4398976982097187,0,0.0025641800507975876,Fourth
1910.0,0.5008581849388543,0.5850515463917526,1,0.014977266498678796,Fourth
1912.0,0.5264957264957264,0.6847058823529412,1,0.09531215755302103,Fourth
1914.0,0.49596727060198714,0.539906103286385,1,0.0025826136525576235,Fourth
1916.0,0.48693054518297235,0.4988344988344988,0,0.00028344703443977486,Fourth
1918.0,0.45035126350005245,0.4444444444444444,0,7.0592426897359e-05,Fourth
1920.0,0.375583864118896,0.302540415704388,0,0.01214874277836002,Fourth
1922.0,0.46259067357512956,0.4791666666666667,0,0.0005510927035782542,Fourth
1924.0,0.4177399252181138,0.42657342657342656,0,0.00015979251794415,Fourth
1926.0,0.4124485596707819,0.44907407407407407,0,0.0027272090567210527,Fourth
1928.0,0.4252279635258359,0.3778801843317972,0,0.0046989169057808505,Fourth
1930.0,0.45622308796391225,0.4976958525345622,0,0.0034448896133755166,Other
1932.0,0.564208782104391,0.727906976744186,1,0.18790113470396286,Fifth
1934.0,0.566327066484613,0.7576470588235295,1,0.2387273557650193,Fifth
1936.0,0.5850418410041841,0.7914691943127962,1,0.33558317974812857,Fifth
1938.0,0.5062370062370063,0.6078886310904872,1,0.026651691832654686,Fifth
1940.0,0.5298969072164949,0.6223776223776224,1,0.04761401757755318,Fifth
1942.0,0.48057259713701433,0.5150812064965197,1,3.78203411377908e-05,Fifth
1944.0,0.5237613751263902,0.5635103926096998,1,0.01533171777325816,Fifth
1946.0,0.45685279187817257,0.43317972350230416,0,0.0011367678887593408,Fifth
1948.0,0.536734693877551,0.6059907834101382,1,0.041503803743647594,Fifth
1950.0,0.5035532994923858,0.5414746543778802,1,0.004068281282564125,Fifth
1952.0,0.5025227043390514,0.49078341013824883,0,0.0002756615159039029,Fifth
1954.0,0.5276381909547738,0.5333333333333333,1,0.007446259449113896,Fifth
1956.0,0.5125125125125125,0.5379310344827586,1,0.005101102145838095,Fifth
1958.0,0.5622489959839357,0.6490825688073395,1,0.09260636491736052,Fifth
1960.0,0.5502008032128514,0.5995423340961098,1,0.04552848166196452,Fifth
1962.0,0.5266331658291458,0.5954022988505747,1,0.03025171041801604,Fifth
1964.0,0.5738693467336684,0.6781609195402298,1,0.13390062994409688,Fifth
1966.0,0.513622603430878,0.5701149425287356,1,0.014147300760814621,Fifth
1968.0,0.5086119554204661,0.5586206896551724,1,0.009097466236575466,Fifth
1970.0,0.5441624365482234,0.5862068965517241,1,0.034376453954093666,Fifth
1972.0,0.527013251783894,0.5576036866359447,1,0.014392957388023195,Fifth
1974.0,0.5855397148676171,0.6689655172413793,1,0.13551492939268553,Other
1976.0,0.569246435845214,0.671264367816092,1,0.12145633226120894,Sixth
1978.0,0.5451776649746193,0.6382488479262672,1,0.0695039128564425,Sixth
1980.0,0.513733468972533,0.558891454965358,1,0.010612455920967712,Sixth
1982.0,0.5598377281947262,0.619815668202765,1,0.06599386814301667,Sixth
1984.0,0.525731584258325,0.5829493087557603,1,0.023896221034799756,Sixth
1986.0,0.5501519756838906,0.593103448275862,1,0.04158086090671963,Sixth
1988.0,0.5389282103134478,0.5977011494252874,1,0.03791043796409288,Sixth
1990.0,0.5404564315352697,0.6152073732718893,1,0.04953752158846844,Sixth
1992.0,0.5262605042016807,0.5944700460829493,1,0.029599428348390036,Sixth
1994.0,0.46465696465696466,0.4700460829493088,0,5.8320742680632e-05,Sixth
1996.0,0.5003631835633495,0.4780600461893764,0,0.0009958083809590706,Sixth
1998.0,0.4942528735632184,0.4861751152073733,0,0.00013056698042566636,Sixth
2000.0,0.49736008447729674,0.4896073903002309,0,0.00012023946574677563,Sixth
2002.0,0.4747899159663866,0.47235023041474655,0,1.1938539694964466e-05,Sixth
2004.0,0.4864864864864865,0.46543778801843316,0,0.0008888817646062787,Sixth
2006.0,0.5414078674948241,0.535632183908046,1,0.01189076122970062,Sixth
2008.0,0.5553235908141962,0.5908045977011495,1,0.04322292631172095,Sixth
2010.0,0.4648033126293996,0.4436781609195402,0,0.0009013930209171295,Sixth
2012.0,0.5056994818652849,0.46206896551724136,0,0.003817222031171824,Sixth
2014.0,0.47052740434332985,0.432183908045977,0,0.002977537912286568,Sixth
2016.0,0.49476987447698745,0.4459770114942529,0,0.004791396654371019,Sixth
2018.0,0.5437881873727088,0.5414746543778802,1,0.014573041822512567,Sixth
2020.0,0.5158974358974359,0.5103448275862069,1,0.0013775376918566326,Sixth
2022.0,0.48612538540596095,0.4896551724137931,0,2.493210009150721e-05,Sixth
2024.0,0.48659793814432994,0.4942528735632184,0,0.00011722989530332534,Sixth
